time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/kl_divergence_loss,train/is_line_search_success,train/explained_variance,train/std,train/n_updates,train/policy_objective,train/value_loss
1,19.96,1,17.00287312,2048,1112,,,,,,,,
5,26.25,2,30.318428570000002,4096,771,0.001,0.008193285204470158,1.0,0.0997735857963562,1.0073634386062622,1,0.06048882380127907,4.3038987897336485
9,33.14,3,49.35609952,6144,674,0.001,0.008072344586253166,1.0,0.5622825622558594,0.9817231297492981,2,0.059869106858968735,12.162367662787437
13,42.72,4,75.40982525,8192,601,0.001,0.007979855872690678,1.0,0.5110820233821869,0.9679725766181946,3,0.05774345621466637,25.27957723736763
17,48.62,5,92.69579329000003,10240,594,0.001,0.007459584157913923,1.0,0.2645852565765381,0.9807892441749573,4,0.046769607812166214,35.03587921857834
21,56.28,6,115.23929516999999,12288,569,0.001,0.008299547247588634,1.0,0.3426951766014099,0.9748099446296692,5,0.060198523104190826,35.79269584417343
25,65.26,7,136.98128854,14336,573,0.001,0.007103141397237778,1.0,0.38821572065353394,0.9611613750457764,6,0.04313741996884346,34.07140835523605
29,73.83,8,159.16522287,16384,556,0.001,0.0074225678108632565,1.0,0.7059267163276672,0.9514737129211426,7,0.041723500937223434,24.93973143696785
33,81.99,9,180.11830450000002,18432,542,0.001,0.0059510874561965466,1.0,0.8080216646194458,0.9392392635345459,8,0.033224038779735565,21.580264806747437
37,84.85,10,189.53227192999995,20480,542,0.001,0.007133938372135162,1.0,0.9175313338637352,0.9301850199699402,9,0.0439339317381382,11.943570178747176
42,86.94,11,196.50775979999997,22528,531,0.001,0.005607197526842356,1.0,0.9113588929176331,0.9275586009025574,10,0.040528684854507446,17.609682792425154
45,88.65,12,200.41097341999998,24576,535,0.001,0.0070280395448207855,1.0,0.9441071040928364,0.9098155498504639,11,0.051359690725803375,15.314280004799366
50,93.07,13,212.05230001,26624,530,0.001,0.007564203813672066,1.0,0.9485996924340725,0.905937671661377,12,0.06514980643987656,16.20500386506319
54,98.57,14,229.08313958,28672,525,0.001,0.006417442113161087,1.0,0.9325338825583458,0.8924317359924316,13,0.052467454224824905,25.573773515224456
58,103.37,15,242.62850615,30720,529,0.001,0.006196200847625732,1.0,0.9164821803569794,0.8952910304069519,14,0.04759923368692398,28.374178797006607
62,110.44,16,262.00079433999997,32768,522,0.001,0.00469312584027648,1.0,0.8532149940729141,0.8943871855735779,15,0.03760383650660515,51.94057705402374
66,117.0,17,280.18767407,34816,524,0.001,0.0050979238003492355,1.0,0.9086054712533951,0.8919066786766052,16,0.041330594569444656,34.816494029760364
70,122.12,18,295.76304881,36864,520,0.001,0.004495023749768734,1.0,0.9079496785998344,0.8940401077270508,17,0.04061939939856529,34.98367750644684
