time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/policy_objective,train/kl_divergence_loss,train/learning_rate,train/explained_variance,train/is_line_search_success,train/std,train/n_updates,train/value_loss
1,2048,19.69,1110,1,17.12730637,,,,,,,,
5,4096,26.05,776,2,26.92966963,0.046153243631124496,0.00796195212751627,0.001,-0.07870376110076904,1.0,1.0004740953445435,1,3.4471245400607584
8,6144,36.12,684,3,49.46476495000001,0.06695988774299622,0.008661440573632717,0.001,0.5392540693283081,1.0,0.9823715686798096,2,7.934499777853489
12,8192,45.82,647,4,71.58281079,0.07379191368818283,0.008497457951307297,0.001,0.554815024137497,1.0,0.9637874960899353,3,19.04644321799278
16,10240,56.27,639,5,98.18785489999999,0.054707907140254974,0.007748538628220558,0.001,0.39000654220581055,1.0,0.9576569199562073,4,26.346255004405975
19,12288,65.7,630,6,125.08877094999998,0.0541050061583519,0.008174867369234562,0.001,0.2857555150985718,1.0,0.9598996043205261,5,34.895968961715695
22,14336,73.23,624,7,145.95240492000002,0.046698447316884995,0.00739286607131362,0.001,0.3634800910949707,1.0,0.9397758841514587,6,30.22947105169296
26,16384,79.43,615,8,165.27883618000004,0.05521779507398605,0.007727110758423805,0.001,0.6894665956497192,1.0,0.9265082478523254,7,21.778980991244318
30,18432,86.76,607,9,184.14607671000002,0.04516997188329697,0.007072352338582277,0.001,0.78347148001194,1.0,0.9149749279022217,8,25.301095178723337
33,20480,92.39,612,10,200.14756627,0.05024096369743347,0.006936751306056976,0.001,0.8849302604794502,1.0,0.8988478183746338,9,14.67603340446949
36,22528,95.14,613,11,209.3357666,0.05855897068977356,0.0072433482855558395,0.001,0.9345767572522163,1.0,0.8826577067375183,10,12.543464812636376
40,24576,100.9,603,12,227.31581334999998,0.04968659207224846,0.006831660866737366,0.001,0.887980617582798,1.0,0.8629210591316223,11,32.65363685786724
43,26624,106.99,606,13,245.38516364000003,0.05218065530061722,0.006120521109551191,0.001,0.9646673835813999,1.0,0.8552343249320984,12,13.445343083143234
47,28672,110.93,608,14,258.48507972,0.04142884537577629,0.005479441490024328,0.001,0.9587338045239449,1.0,0.8535909652709961,13,15.875634530186653
50,30720,114.97,603,15,272.14234110999996,0.05120032653212547,0.00645196670666337,0.001,0.9851150680333376,1.0,0.8543176054954529,14,8.941826136410237
54,32768,117.99,603,16,281.89479192000005,0.03507458046078682,0.005016655195504427,0.001,0.9753158316016197,1.0,0.8541916012763977,15,12.762793803215027
58,34816,123.25,599,17,297.84163289,0.040025439113378525,0.005362622439861298,0.001,0.9552220664918423,1.0,0.8514440059661865,16,23.97276104390621
61,36864,123.76,597,18,299.99164794,0.044560402631759644,0.0050241583958268166,0.001,0.9719751309603453,1.0,0.8565533757209778,17,13.571547824144364
64,38912,124.68,600,19,304.52195394,0.03831819072365761,0.005556239280849695,0.001,0.9577576778829098,1.0,0.8551079630851746,18,26.48123418390751
68,40960,125.7,600,20,307.73234742,0.04365650191903114,0.005135263781994581,0.001,0.9557147920131683,1.0,0.8520786166191101,19,26.155251401662827
71,43008,126.47,603,21,312.49580613,0.04706234112381935,0.004491818603128195,0.001,0.957824632525444,1.0,0.840567409992218,20,26.950661915540696
74,45056,126.98,605,22,316.39164561,0.04151058569550514,0.005900267045944929,0.001,0.9638383127748966,1.0,0.8326557278633118,21,22.33687005341053
77,47104,128.12,606,23,320.7199694199999,0.046257875859737396,0.006413811817765236,0.001,0.8749103844165802,1.0,0.8276020884513855,22,62.16088075637818
81,49152,126.34,605,24,315.97159161999997,0.05190128833055496,0.005663175601512194,0.001,0.9751512836664915,1.0,0.8131588101387024,23,17.095222505927087
84,51200,128.43,606,25,322.82861952,0.04783125966787338,0.006044901441782713,0.001,0.9125006720423698,1.0,0.7993383407592773,24,55.15142630934715
87,53248,129.89,607,26,329.98195683,0.04482337459921837,0.00630998658016324,0.001,0.9618036709725857,1.0,0.7932217717170715,25,29.707761377096176
90,55296,132.82,608,27,342.3296154399999,0.05217461287975311,0.005512061063200235,0.001,0.9761521890759468,1.0,0.7812586426734924,26,17.10512100160122
94,57344,135.56,606,28,357.25369020000005,0.05636430159211159,0.00608729338273406,0.001,0.9825305752456188,1.0,0.7739794850349426,27,17.25448387861252
98,59392,139.47,604,29,373.0500711699999,0.05907047912478447,0.00644708750769496,0.001,0.9751113317906857,1.0,0.7602689862251282,28,15.610279273986816
102,61440,143.86,601,30,392.22374189000004,0.04811280220746994,0.005584785249084234,0.001,0.9837438985705376,1.0,0.7509613037109375,29,13.970502331852913
106,63488,148.38,597,31,411.34482641,0.04696445167064667,0.007188130170106888,0.001,0.9539906680583954,1.0,0.7479826807975769,30,46.302326428890225
110,65536,153.61,594,32,432.16295807,0.04610875993967056,0.0059074051678180695,0.001,0.9836662374436855,1.0,0.7335882186889648,31,14.2206164509058
113,67584,157.92,593,33,451.53728151999996,0.04034937545657158,0.00632454315200448,0.001,0.9419216811656952,1.0,0.7309070229530334,32,60.360220563411715
117,69632,159.21,592,34,457.38467811000004,0.038547348231077194,0.006317724008113146,0.001,0.9582566097378731,1.0,0.7250609397888184,33,36.30845658183098
121,71680,162.17,590,35,468.67341579000015,0.04598226025700569,0.0063087488524615765,0.001,0.8877641931176186,1.0,0.7191272377967834,34,124.11599605083465
124,73728,165.67,591,36,480.84382171000004,0.05767172574996948,0.00627461401745677,0.001,0.9813247881829739,1.0,0.7094435095787048,35,18.62929912209511
129,75776,168.74,587,37,491.62091062,0.04257506504654884,0.00413340562954545,0.001,0.9663802161812782,1.0,0.7075285911560059,36,22.828416278958322
133,77824,169.75,584,38,496.46773753,0.03599794954061508,0.005379084963351488,0.001,0.955326683819294,1.0,0.7100725769996643,37,58.84840129613876
136,79872,171.97,584,39,505.79711946,0.058569032698869705,0.005688644479960203,0.001,0.959926925599575,1.0,0.699334442615509,38,65.33012636899949
140,81920,173.8,582,40,511.67673079999986,0.049963414669036865,0.0065561034716665745,0.001,0.9584136568009853,1.0,0.6987501978874207,39,60.16945738196373
144,83968,175.94,582,41,523.9525261,0.04260518401861191,0.005383699666708708,0.001,0.9662196785211563,1.0,0.691406786441803,40,45.37594728469848
147,86016,179.39,582,42,538.88984327,0.04949583113193512,0.006262131035327911,0.001,0.9879472497850657,1.0,0.6775365471839905,41,19.103879463672637
151,88064,181.41,582,43,549.16547051,0.04740371182560921,0.005468165036290884,0.001,0.9879394434392452,1.0,0.6740593910217285,42,18.659451389312743
154,90112,183.61,582,44,562.42070357,0.052501145750284195,0.005667865741997957,0.001,0.9895055647939444,1.0,0.6626209020614624,43,19.426581966876984
158,92160,183.81,582,45,564.0468649300001,0.047704268246889114,0.006124340463429689,0.001,0.9903008099645376,1.0,0.6558438539505005,44,18.59757267832756
162,94208,184.8,580,46,572.95557636,0.05402623489499092,0.007580839563161135,0.001,0.9815022591501474,1.0,0.6499659419059753,45,36.20186511874199
165,96256,186.88,580,47,582.7864546799999,0.046114180237054825,0.006574414670467377,0.001,0.9883367903530598,1.0,0.6406885981559753,46,21.182957124710082
